I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-17,-24,-7,20,-5,-16,-16,-19,-31,-23,-24,-19
-15,-22,-7,18,-4,-15,-16,-19,-30,-23,-24,-18
-13,-22,-9,17,-2,-16,-15,-19,-29,-24,-25,-18
-15,-25,-10,20,-3,-18,-16,-19,-29,-25,-25,-18
-19,-28,-9,23,-5,-19,-17,-20,-30,-26,-27,-19
-23,-31,-8,27,-8,-20,-18,-20,-31,-27,-27,-20
-23,-31,-8,27,-8,-20,-17,-19,-31,-27,-27,-19
-21,-29,-8,25,-7,-19,-16,-19,-31,-26,-26,-19
-19,-26,-7,22,-6,-17,-16,-19,-31,-27,-26,-19
-21,-26,-5,23,-8,-16,-16,-19,-32,-28,-27,-20
-20,-25,-5,22,-8,-15,-16,-19,-32,-28,-27,-20
-21,-25,-4,23,-9,-15,-16,-19,-32,-28,-28,-21
-21,-27,-6,24,-8,-17,-16,-19,-32,-28,-29,-22
-19,-26,-7,22,-6,-17,-15,-18,-32,-28,-28,-21
-17,-24,-7,20,-5,-16,-15,-17,-31,-27,-27,-20
-14,-22,-8,18,-3,-15,-14,-16,-31,-27,-25,-19
-14,-22,-8,18,-3,-15,-14,-16,-31,-27,-25,-19
-16,-23,-7,19,-5,-15,-14,-17,-31,-27,-26,-19
-17,-23,-6,20,-6,-15,-14,-17,-32,-27,-26,-19
-19,-22,-3,20,-8,-13,-13,-15,-31,-26,-25,-17
-23,-25,-2,24,-11,-14,-13,-16,-31,-27,-26,-18
-23,-27,-4,25,-10,-16,-14,-16,-31,-27,-28,-18
-21,-26,-5,23,-8,-16,-13,-15,-31,-27,-28,-18
-22,-27,-5,24,-9,-16,-14,-16,-32,-28,-28,-19
-24,-30,-6,27,-9,-18,-15,-17,-33,-30,-29,-20
-23,-29,-6,26,-9,-18,-16,-17,-33,-29,-28,-21
-17,-24,-7,20,-5,-16,-15,-16,-32,-28,-26,-20
-13,-21,-8,17,-3,-15,-15,-16,-32,-28,-25,-20
-15,-22,-7,18,-4,-15,-17,-17,-33,-28,-25,-20
-18,-23,-5,20,-7,-14,-18,-18,-32,-28,-25,-19
-17,-22,-5,19,-6,-14,-17,-17,-31,-27,-24,-18
-17,-21,-4,19,-7,-13,-16,-16,-30,-26,-23,-16
-16,-20,-4,18,-6,-12,-15,-15,-29,-24,-22,-15
-16,-19,-3,17,-7,-11,-15,-15,-28,-23,-22,-15
-16,-20,-4,18,-6,-12,-15,-15,-29,-23,-22,-15
-17,-21,-4,19,-7,-13,-16,-16,-29,-24,-23,-16
-17,-20,-3,18,-7,-12,-15,-15,-28,-24,-22,-16
-17,-19,-2,18,-8,-11,-14,-14,-28,-22,-21,-15
-17,-16,1,16,-9,-8,-14,-13,-27,-21,-20,-14
-17,-16,1,16,-9,-8,-14,-13,-27,-21,-20,-14
-17,-17,0,17,-9,-9,-15,-15,-28,-22,-21,-14
-19,-18,1,18,-10,-9,-15,-15,-28,-22,-21,-14
-17,-16,1,16,-9,-8,-15,-15,-27,-21,-20,-13
-14,-15,-1,14,-7,-8,-15,-15,-27,-21,-19,-13
-14,-16,-2,15,-6,-9,-15,-16,-27,-21,-19,-13
-17,-20,-3,18,-7,-12,-16,-16,-27,-21,-19,-14
-17,-21,-4,19,-7,-13,-16,-16,-27,-20,-18,-14
-14,-20,-6,17,-4,-13,-15,-15,-27,-19,-17,-12
-14,-19,-5,16,-5,-12,-15,-15,-27,-19,-17,-12
-12,-18,-6,15,-3,-12,-14,-15,-27,-19,-17,-11
-12,-17,-5,14,-4,-11,-14,-16,-27,-19,-17,-11
-13,-18,-5,15,-4,-12,-15,-16,-27,-19,-18,-12
-15,-17,-2,16,-7,-10,-15,-15,-25,-17,-18,-12
-15,-17,-2,16,-7,-10,-16,-15,-25,-16,-18,-12
-14,-16,-2,15,-6,-9,-16,-14,-24,-15,-17,-11
-15,-18,-3,16,-6,-11,-17,-15,-25,-15,-17,-12
-17,-21,-4,19,-7,-13,-19,-17,-26,-16,-18,-14
-19,-22,-3,20,-8,-13,-20,-17,-26,-16,-18,-13
-19,-22,-3,20,-8,-13,-20,-17,-26,-16,-17,-13
-18,-21,-3,19,-8,-12,-20,-19,-27,-15,-16,-12
-18,-21,-3,19,-8,-12,-20,-19,-26,-15,-15,-11
-19,-19,0,19,-10,-10,-19,-19,-25,-14,-14,-10
-18,-17,1,17,-10,-8,-18,-19,-24,-14,-14,-10
-19,-18,1,18,-10,-9,-19,-19,-24,-15,-14,-11
-18,-18,0,18,-9,-9,-19,-19,-24,-15,-14,-11
-14,-14,0,14,-7,-7,-18,-18,-23,-13,-15,-10
-7,-9,-2,8,-3,-6,-15,-16,-22,-11,-13,-8
-6,-8,-2,7,-2,-5,-15,-16,-23,-11,-14,-8
-8,-11,-3,9,-3,-7,-16,-17,-24,-11,-14,-8
-12,-15,-3,13,-5,-9,-16,-18,-25,-11,-15,-8
-15,-18,-3,16,-6,-11,-17,-19,-26,-11,-15,-9
